trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.47215856219206,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.986110313096653,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.065397381749236,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,2,-87.54830540203575,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,3,-32.38216114907511,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.34667220251914,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.00365186255056,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,8,-79.51548245608559,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-250.02558996941286,"{0: 10, 1: 2, 2: 9, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.8312186828459,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.390816491977006,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.37211952613677,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.70080821445062,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.39314278345768,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.5185680951714,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.67519607214318,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-61.52540501497461,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,13,-132.427925205803,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.70548442417115,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.30417759339713,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.043649532060826,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.81628483960898,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.9949782309354,"{0: 10, 1: 8, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.94418165020295,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.58274624507402,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.8217000115883,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.09127959637715,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.93635891240152,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.23344378953095,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.7549021509317,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
